"Notes","County of Residence","County of Residence Code","Year","Year Code",Births,Average Birth Weight (grams)
,"Hunterdon County, NJ","34019","2024","2024",1116,3335.72
,"Mercer County, NJ","34021","2016","2016",4280,3255.87
,"Mercer County, NJ","34021","2017","2017",4081,3231.92
,"Mercer County, NJ","34021","2018","2018",3999,3239.26
,"Mercer County, NJ","34021","2019","2019",4103,3244.18
,"Mercer County, NJ","34021","2020","2020",3985,3255.35
,"Mercer County, NJ","34021","2021","2021",4114,3259.36
,"Mercer County, NJ","34021","2022","2022",4203,3233.24
,"Mercer County, NJ","34021","2023","2023",4103,3246.96
,"Mercer County, NJ","34021","2024","2024",4098,3259.70
,"Middlesex County, NJ","34023","2016","2016",9332,3233.09
,"Middlesex County, NJ","34023","2017","2017",9123,3230.62
,"Middlesex County, NJ","34023","2018","2018",8872,3238.65
,"Middlesex County, NJ","34023","2019","2019",8516,3221.98
,"Middlesex County, NJ","34023","2020","2020",8426,3234.84
,"Middlesex County, NJ","34023","2021","2021",8649,3233.63
,"Middlesex County, NJ","34023","2022","2022",8552,3219.90
,"Middlesex County, NJ","34023","2023","2023",8364,3217.43
,"Middlesex County, NJ","34023","2024","2024",8294,3207.39
,"Monmouth County, NJ","34025","2016","2016",5960,3293.22
,"Monmouth County, NJ","34025","2017","2017",5737,3285.98
,"Monmouth County, NJ","34025","2018","2018",5888,3276.40
,"Monmouth County, NJ","34025","2019","2019",5664,3294.11
,"Monmouth County, NJ","34025","2020","2020",5852,3279.51
,"Monmouth County, NJ","34025","2021","2021",6176,3310.13
,"Monmouth County, NJ","34025","2022","2022",6444,3290.75
,"Monmouth County, NJ","34025","2023","2023",6401,3291.47
,"Monmouth County, NJ","34025","2024","2024",6382,3293.80
,"Morris County, NJ","34027","2016","2016",4633,3305.67
,"Morris County, NJ","34027","2017","2017",4636,3304.49
,"Morris County, NJ","34027","2018","2018",4487,3324.28
,"Morris County, NJ","34027","2019","2019",4486,3312.48
,"Morris County, NJ","34027","2020","2020",4580,3304.56
,"Morris County, NJ","34027","2021","2021",4881,3307.10
,"Morris County, NJ","34027","2022","2022",5098,3314.84
,"Morris County, NJ","34027","2023","2023",4929,3315.02
,"Morris County, NJ","34027","2024","2024",5027,3306.26
,"Ocean County, NJ","34029","2016","2016",8566,3336.36
,"Ocean County, NJ","34029","2017","2017",8597,3339.75
